name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating
nobunaga_no_yabou_haouden,snes,1993.0,strategy,0.3,0.0,0.32,0.0,,,
virtua_cop,sat,1995.0,shooter,0.0,0.0,0.62,0.0,,,
metal_gear_solid_2_substance,xb,2002.0,action,0.38,0.22,0.0,0.03,87.0,8.5,M
tony_hawk_s_american_wasteland,xb,2005.0,sports,0.4,0.2,0.0,0.03,77.0,7.7,T
wwf_in_your_house,ps,1996.0,fighting,0.35,0.24,0.0,0.04,,,
wild_arms_3,ps2,2002.0,role_playing,0.16,0.13,0.29,0.04,78.0,8.4,T
nba_shootout_97,ps,1997.0,sports,0.35,0.24,0.0,0.04,,,
family_feud_2010_edition,wii,2009.0,misc,0.58,0.0,0.0,0.04,70.0,7.2,E
madden_nfl_07,gc,2006.0,sports,0.48,0.13,0.0,0.02,82.0,9.2,E
lego_jurassic_world,3ds,2015.0,action,0.31,0.23,0.03,0.05,70.75,7.2,E10+
battlezone,2600,1982.0,shooter,0.58,0.03,0.0,0.01,61.5,7.0,E10+
tiger_woods_pga_tour_2004,xb,2003.0,sports,0.47,0.13,0.0,0.02,89.0,8.2,E
test_drive_unlimited_2,ps3,2011.0,racing,0.16,0.34,0.01,0.12,70.0,6.1,T
tak_2_the_staff_of_dreams,ps2,2004.0,platform,0.3,0.24,0.0,0.08,71.0,8.0,E
just_dance_3,ps3,2011.0,misc,0.33,0.2,0.0,0.09,75.0,6.0,E10+
lego_pirates_of_the_caribbean_the_video_game,3ds,2011.0,action,0.29,0.27,0.0,0.06,71.0,7.3,E10+
donkey_kong_barrel_blast,wii,2007.0,racing,0.19,0.26,0.11,0.06,46.0,6.8,E
the_princess_and_the_frog,ds,2009.0,platform,0.41,0.16,0.0,0.05,67.0,6.6,E
disney_infinity_2_0_marvel_super_heroes,ps4,2014.0,action,0.27,0.25,0.0,0.1,72.0,7.1,M
viewtiful_joe,gc,2003.0,action,0.38,0.1,0.12,0.02,93.0,8.3,T
the_urbz_sims_in_the_city,gba,2004.0,simulation,0.37,0.22,0.0,0.03,72.0,9.2,E
beetle_adventure_racing,n64,1999.0,racing,0.4,0.2,0.0,0.02,78.0,8.75,E
guitar_hero_metallica,ps3,2009.0,misc,0.28,0.24,0.0,0.1,86.0,8.0,T
disney_s_102_dalmatians_puppies_to_the_rescue,ps,2000.0,platform,0.34,0.23,0.0,0.04,71.0,7.7,E
strike_force_bowling,ps2,2004.0,sports,0.3,0.24,0.0,0.08,48.0,6.8,E
halloween,2600,1982.0,action,0.58,0.03,0.0,0.01,,,
red_steel_2,wii,2010.0,shooter,0.35,0.2,0.01,0.06,80.0,8.6,T
bass_landing,ps,1999.0,sports,0.21,0.14,0.23,0.04,64.5,,E
xgra_extreme_g_racing_association,ps2,2004.0,racing,0.3,0.24,0.0,0.08,68.0,8.6,T
mafia_iii,xone,2016.0,action,0.28,0.29,0.0,0.05,67.0,4.6,M
bolt,ds,2008.0,adventure,0.35,0.21,0.0,0.06,55.33,6.57,E10+
mario_s_picross,gb,1995.0,puzzle,0.0,0.0,0.62,0.0,,,
pac_man_player_s_choice_bundle,gc,2003.0,misc,0.48,0.12,0.0,0.02,69.0,8.0,E
fighters_megamix,sat,1996.0,fighting,0.0,0.0,0.62,0.0,,,
bahamut_lagoon,snes,1996.0,role_playing,0.0,0.0,0.62,0.0,,,
prince_of_persia_the_forgotten_sands,x360,2010.0,action,0.3,0.26,0.0,0.06,74.0,7.8,T
warriors_orochi_3,ps3,2011.0,action,0.0,0.04,0.57,0.01,70.0,7.9,T
tomb_raider_iii_adventures_of_lara_croft,pc,1998.0,action,0.59,0.03,0.0,0.0,89.0,8.2,T
dj_hero_2,wii,2010.0,misc,0.48,0.09,0.0,0.04,88.0,7.5,T
toshochu_run_for_money,3ds,2012.0,adventure,0.0,0.0,0.62,0.0,68.0,7.4,M
dragon_quest_monsters_joker_2_professional,ds,2011.0,role_playing,0.0,0.0,0.62,0.0,75.5,7.5,T
nfl_quarterback_club_99,n64,1998.0,sports,0.59,0.02,0.0,0.0,,,
super_robot_taisen_α_gaiden,ps,2001.0,strategy,0.0,0.0,0.58,0.04,78.0,8.45,T
tiger_woods_pga_tour_12_the_masters,x360,2011.0,sports,0.4,0.16,0.0,0.05,80.0,6.1,E
battle_of_giants_dragons,ds,2009.0,strategy,0.3,0.25,0.0,0.06,70.5,6.0,E10+
wall_e,x360,2008.0,platform,0.29,0.26,0.0,0.07,50.0,6.3,E
start_the_party,ps3,2010.0,misc,0.07,0.41,0.0,0.13,66.0,6.4,E
formula_1_championship_edition,ps3,2006.0,racing,0.0,0.57,0.04,0.0,69.0,7.35,E
harry_potter_and_the_half_blood_prince,ds,2009.0,action,0.2,0.34,0.0,0.07,48.0,4.3,E
nier,ps3,2010.0,role_playing,0.17,0.18,0.2,0.07,68.0,8.4,M
2014_fifa_world_cup_brazil,ps3,2014.0,sports,0.15,0.36,0.01,0.09,73.0,4.3,E
phoenix_wright_ace_attorney_trials_and_tribulations,ds,2007.0,adventure,0.3,0.03,0.25,0.03,70.0,7.6,E
nba_2k9,ps3,2008.0,sports,0.56,0.0,0.0,0.05,82.0,7.0,E
spongebob_s_atlantis_squarepantis,wii,2007.0,action,0.56,0.0,0.0,0.04,64.0,5.5,E
singstar_singalong_with_disney,ps2,2008.0,misc,0.0,0.04,0.0,0.57,69.0,7.0,E
nfl_fever_2003,xb,2002.0,sports,0.46,0.13,0.0,0.02,72.0,8.6,E
samurai_warriors_2,ps2,2006.0,action,0.02,0.02,0.57,0.01,58.0,8.8,T
wet,ps3,2009.0,shooter,0.22,0.27,0.01,0.11,70.0,6.4,M
cooking_mama_4_kitchen_magic,3ds,2011.0,simulation,0.5,0.07,0.0,0.05,56.0,6.0,E
scribblenauts_unlimited,3ds,2012.0,action,0.56,0.01,0.0,0.05,73.0,7.4,E10+
the_black_eyed_peas_experience,wii,2011.0,misc,0.37,0.19,0.0,0.06,66.0,5.8,T
2_games_in_1_sonic_battle_chuchu_rocket,gba,2005.0,misc,0.44,0.16,0.0,0.01,65.0,7.7,E
fire_emblem_shadow_dragon,ds,2008.0,role_playing,0.29,0.02,0.27,0.03,81.0,7.0,E10+
plants_vs_zombies_garden_warfare,ps4,2014.0,shooter,0.21,0.29,0.01,0.1,75.0,7.6,E10+
metroid_prime_trilogy,wii,2009.0,shooter,0.42,0.05,0.0,0.14,91.0,9.3,T
robotech_battlecry,ps2,2002.0,shooter,0.3,0.23,0.0,0.08,72.0,8.5,T
dora_the_explorer_super_spies,gba,2004.0,platform,0.44,0.16,0.0,0.01,70.0,8.0,E
disney_universe,ps3,2011.0,action,0.3,0.22,0.0,0.09,70.0,6.9,E10+
advance_wars_days_of_ruin,ds,2008.0,strategy,0.43,0.12,0.0,0.05,86.0,8.7,E10+
jak_and_daxter_the_lost_frontier,psp,2009.0,platform,0.18,0.27,0.0,0.15,71.0,6.3,E10+
texas_hold_em_poker,gba,2004.0,misc,0.44,0.16,0.0,0.01,49.0,6.8,E
time_crisis_3,ps2,2003.0,shooter,0.3,0.23,0.0,0.08,81.0,8.1,T
wwe_smackdown_vs_raw_2010,psp,2009.0,fighting,0.25,0.22,0.0,0.14,78.5,6.6,T
vanquish,ps3,2010.0,shooter,0.21,0.21,0.11,0.08,84.0,8.1,M
ganbaru_watashi_no_kakei_diary,ds,2007.0,misc,0.0,0.0,0.61,0.0,63.0,6.6,E
tearaway,psv,2013.0,adventure,0.14,0.34,0.0,0.14,87.0,8.9,E
small_soldiers,ps,1998.0,platform,0.34,0.23,0.0,0.04,82.5,8.55,E
half_life_2,xb,2005.0,shooter,0.37,0.21,0.0,0.03,90.0,8.6,M
duke_nukem_total_meltdown,ps,1997.0,shooter,0.34,0.23,0.0,0.04,79.0,,E
tony_hawk_ride,x360,2009.0,sports,0.46,0.1,0.0,0.05,46.0,3.0,E10+
borderlands_the_pre_sequel,ps3,2014.0,shooter,0.26,0.21,0.05,0.1,77.0,6.3,M
major_league_baseball_2k8,x360,2008.0,sports,0.56,0.0,0.0,0.05,70.0,5.9,E
sacred_2_fallen_angel,ps3,2009.0,role_playing,0.22,0.22,0.08,0.09,70.0,7.1,M
pro_evolution_soccer_2011,x360,2010.0,sports,0.09,0.44,0.0,0.07,79.0,5.9,E
major_league_baseball_2k9,x360,2009.0,sports,0.56,0.0,0.0,0.05,64.0,5.3,E
final_fantasy_iv_advance,gba,2005.0,role_playing,0.27,0.1,0.22,0.01,85.0,7.3,E10+
dragon_ball_z_ultimate_tenkaichi,ps3,2011.0,fighting,0.27,0.18,0.09,0.07,58.0,5.4,T
madden_nfl_2003,gba,2002.0,sports,0.44,0.16,0.0,0.01,76.0,8.17,E
tomb_raider_2013,xone,2014.0,action,0.35,0.21,0.0,0.05,86.0,8.5,M
petz_dogz_pack,ds,2008.0,simulation,0.56,0.0,0.0,0.05,65.0,7.45,E
harry_potter_and_the_goblet_of_fire,gba,2005.0,action,0.44,0.16,0.0,0.01,71.0,6.0,E
tomb_raider_chronicles,ps,1999.0,action,0.34,0.23,0.0,0.04,77.0,8.3,M
dragon_ball_z_buu_s_fury,gba,2004.0,action,0.44,0.16,0.0,0.01,62.0,8.9,E
madden_nfl_2002,gc,2001.0,sports,0.47,0.12,0.0,0.02,89.0,8.0,E
spider_man_mysterio_s_menace,gba,2001.0,action,0.43,0.16,0.0,0.01,84.0,8.7,E
madden_nfl_2000,n64,1999.0,sports,0.58,0.02,0.0,0.0,64.5,,E
game_watch_gallery_4,gba,2002.0,misc,0.43,0.16,0.0,0.01,64.5,7.55,E
mysims_racing,ds,2009.0,racing,0.25,0.29,0.0,0.07,67.0,7.3,E
naruto_ultimate_ninja,ps2,2003.0,fighting,0.5,0.02,0.0,0.08,75.0,7.7,T
pac_man_party,wii,2010.0,misc,0.47,0.08,0.01,0.04,59.0,5.9,E10+
cabela_s_monster_buck_hunter,wii,2010.0,sports,0.57,0.0,0.0,0.03,68.0,7.0,T
tony_hawk_s_underground,gba,2003.0,sports,0.43,0.16,0.0,0.01,86.0,7.7,E
dark_souls_ii,ps4,2015.0,role_playing,0.21,0.23,0.08,0.09,91.0,7.7,T
monster_trucks,gba,2004.0,racing,0.43,0.16,0.0,0.01,68.0,8.1,E
world_of_zoo,wii,2009.0,simulation,0.4,0.15,0.0,0.05,66.0,8.2,E
shadow_the_hedgehog,ps2,2005.0,platform,0.5,0.02,0.0,0.08,45.0,6.0,E10+
wave_race_blue_storm,gc,2001.0,racing,0.4,0.1,0.09,0.02,80.0,8.3,E
aliens_colonial_marines,ps3,2013.0,shooter,0.2,0.29,0.0,0.11,43.0,3.6,M
backyard_wrestling_don_t_try_this_at_home,ps2,2003.0,fighting,0.3,0.23,0.0,0.08,51.0,7.8,M
yakuza_dead_souls,ps3,2011.0,shooter,0.09,0.06,0.42,0.03,64.0,7.4,M
fight_night_round_2,xb,2005.0,fighting,0.42,0.16,0.0,0.02,88.0,8.8,T
monhun_nikki_poka_poka_ailu_mura,psp,2010.0,role_playing,0.0,0.0,0.6,0.0,72.0,7.4,T
dead_island_riptide,ps3,2013.0,action,0.26,0.19,0.07,0.09,62.0,5.9,M
just_dance_2015,x360,2014.0,misc,0.42,0.13,0.0,0.06,72.33,8.3,E10+
kinect_sports_rivals,xone,2014.0,sports,0.3,0.23,0.02,0.05,60.0,5.1,E10+
nba_2k8,ps2,2007.0,sports,0.5,0.02,0.0,0.08,72.0,6.0,E
dynasty_warriors_8,ps3,2013.0,action,0.12,0.1,0.34,0.05,68.0,8.5,T
suikoden,ps,1995.0,role_playing,0.21,0.14,0.21,0.04,81.5,8.5,E10+
disney_infinity,wiiu,2013.0,action,0.33,0.22,0.0,0.05,71.0,7.6,E10+
secret_agent_clank,ps2,2009.0,platform,0.13,0.18,0.0,0.29,61.0,6.7,E10+
call_of_juarez_bound_in_blood,x360,2009.0,shooter,0.3,0.24,0.0,0.06,77.0,7.6,M
fighters_uncaged,x360,2010.0,fighting,0.31,0.23,0.0,0.06,32.0,4.6,T
rayman_arena,ps2,2001.0,racing,0.29,0.23,0.0,0.08,63.0,8.6,E
jaws_unleashed,ps2,2006.0,action,0.5,0.02,0.0,0.08,52.0,7.5,M
puyo_puyo_sun,sat,1997.0,puzzle,0.0,0.0,0.6,0.0,,,
half_life,ps2,2001.0,shooter,0.29,0.23,0.0,0.08,87.0,8.6,M
international_superstar_soccer_64,n64,1997.0,sports,0.09,0.26,0.23,0.02,,,
mickey_s_speedway_usa,n64,2000.0,racing,0.37,0.08,0.14,0.01,68.0,7.4,E
nascar_heat_2002,ps2,2001.0,racing,0.29,0.23,0.0,0.08,81.0,7.75,E
split_second,x360,2010.0,racing,0.32,0.23,0.0,0.06,82.0,8.1,E10+
the_golden_compass,ds,2007.0,action,0.28,0.25,0.0,0.06,43.0,4.9,E10+
the_golden_compass,wii,2007.0,action,0.26,0.28,0.0,0.07,35.0,6.8,E10+
transformers_the_game_xbox_360_ps2_ps3_wii_pc_versions,x360,2007.0,action,0.51,0.04,0.0,0.05,61.5,6.8,E10+
from_tv_animation_one_piece_grand_battle_2,ps,2002.0,fighting,0.0,0.0,0.56,0.04,67.0,7.85,T
beatmania_append_3rdmix,ps,1998.0,simulation,0.0,0.0,0.56,0.04,,,
muramasa_the_demon_blade,wii,2009.0,role_playing,0.32,0.12,0.11,0.04,81.0,8.7,T
disney_th_nk_fast_the_ultimate_trivia_showdown,wii,2008.0,misc,0.37,0.16,0.01,0.06,69.0,7.0,E
frozen_olaf_s_quest,3ds,2013.0,platform,0.27,0.27,0.0,0.05,74.5,6.5,E10+
xena_warrior_princess,ps,1998.0,adventure,0.33,0.23,0.0,0.04,,,
littlest_pet_shop_garden,ds,2008.0,simulation,0.31,0.23,0.0,0.06,65.0,7.45,E
okami,wii,2008.0,action,0.43,0.09,0.04,0.05,90.0,8.9,T
new_play_control_pikmin_2,wii,2009.0,strategy,0.11,0.13,0.33,0.02,70.5,7.2,T
lego_the_hobbit,ps4,2014.0,action,0.13,0.38,0.0,0.09,72.0,6.6,E10+
front_mission,snes,1995.0,strategy,0.0,0.0,0.6,0.0,72.0,8.9,E10+
wwe_2k17,ps4,2016.0,sports,0.17,0.34,0.0,0.09,69.0,6.9,T
just_dance_2014,wiiu,2013.0,misc,0.31,0.23,0.0,0.05,72.0,7.6,E10+
new_play_control_donkey_kong_jungle_beat,wii,2008.0,platform,0.23,0.17,0.14,0.05,62.0,6.8,E
wipeout_the_game,ds,2010.0,misc,0.56,0.0,0.0,0.04,66.0,6.4,E
avatar_the_game,psp,2009.0,action,0.22,0.24,0.0,0.14,63.0,7.1,E10+
nhl_15,ps4,2014.0,sports,0.31,0.19,0.0,0.1,60.0,3.6,E10+
total_war_shogun_2,pc,2011.0,strategy,0.19,0.31,0.0,0.09,90.0,8.3,T
major_league_baseball_2k7,ps2,2007.0,sports,0.29,0.23,0.0,0.08,71.0,5.9,E
dai_2_ji_super_robot_taisen_α,ps2,2003.0,strategy,0.0,0.0,0.6,0.0,74.0,8.4,T
pgr3_project_gotham_racing_3,x360,2005.0,racing,0.49,0.03,0.03,0.05,68.0,7.75,E
dragon_age_inquisition,ps3,2014.0,role_playing,0.27,0.18,0.05,0.09,86.33,5.2,M
simcity_ds,ds,2007.0,simulation,0.33,0.02,0.21,0.03,69.0,6.3,E
new_carnival_games,wii,2010.0,misc,0.33,0.21,0.0,0.05,66.0,6.4,E
hot_wheels_stunt_track_challenge,ps2,2004.0,racing,0.29,0.23,0.0,0.08,62.0,8.1,E
littlest_pet_shop_jungle,ds,2008.0,simulation,0.34,0.2,0.0,0.06,65.0,7.45,E
dai_3_ji_super_robot_taisen_α_shuuen_no_ginga_e,ps2,2005.0,strategy,0.0,0.0,0.59,0.0,74.0,8.1,T
fifa_15,psv,2014.0,sports,0.08,0.35,0.05,0.12,82.0,3.1,E
jikkyou_powerful_pro_yakyuu_97_kaimakuban,ps,1997.0,sports,0.0,0.0,0.56,0.04,,,
monopoly,x360,2008.0,misc,0.34,0.2,0.0,0.06,56.0,5.8,E
tony_hawk_ride,ps3,2009.0,sports,0.38,0.14,0.0,0.07,44.0,2.1,E10+
cybertiger,ps,1998.0,sports,0.33,0.22,0.0,0.04,,,
jampack_fall_2001,ps,2001.0,misc,0.33,0.22,0.0,0.04,70.0,7.05,E
medal_of_honor_frontline,gc,2002.0,shooter,0.46,0.12,0.0,0.02,80.0,7.9,T
dead_space,pc,2008.0,action,0.0,0.53,0.0,0.06,86.0,8.0,M
nfl_blitz_2001,ps,2000.0,sports,0.33,0.22,0.0,0.04,70.0,7.8,E
jikkyou_powerful_pro_yakyuu_98_kaimakuban,ps,1998.0,sports,0.0,0.0,0.55,0.04,,,
rock_band_2,ps2,2008.0,misc,0.29,0.23,0.0,0.08,91.67,8.0,T
nhl_11,ps3,2010.0,sports,0.4,0.12,0.0,0.07,88.0,7.1,E10+
yakuza_5,ps3,2012.0,action,0.0,0.0,0.59,0.0,83.0,8.5,M
burgertime,2600,1981.0,puzzle,0.55,0.03,0.0,0.01,,,
2002_fifa_world_cup,ps2,2002.0,sports,0.21,0.17,0.16,0.06,73.0,5.6,E
mvp_baseball_2004,xb,2004.0,sports,0.44,0.13,0.0,0.02,90.0,8.5,E
crash_bandicoot_the_wrath_of_cortex,gc,2002.0,platform,0.46,0.12,0.0,0.02,62.0,7.3,E
smurf_rescue_in_gargamel_s_castle,2600,1981.0,action,0.55,0.03,0.0,0.01,,,
beijing_2008,x360,2008.0,sports,0.15,0.38,0.0,0.07,67.0,7.05,E
pokemon_trozei,ds,2005.0,puzzle,0.25,0.0,0.31,0.02,69.0,7.0,E
wwe_2k16,xone,2015.0,sports,0.32,0.22,0.0,0.05,72.0,5.7,T
extreme_g,n64,1997.0,racing,0.47,0.11,0.0,0.01,,7.6,E
ready_2_rumble_boxing,n64,1999.0,sports,0.47,0.11,0.0,0.01,64.5,,E
assassin_s_creed_brotherhood,pc,2011.0,action,0.15,0.34,0.0,0.1,88.0,8.2,M
spelling_challenges_and_more,ds,2007.0,misc,0.54,0.0,0.0,0.04,63.0,6.6,E
dead_or_alive_xtreme_beach_volleyball,xb,2003.0,sports,0.36,0.08,0.14,0.02,73.0,7.8,M
tales_of_rebirth,ps2,2004.0,role_playing,0.0,0.0,0.59,0.0,74.5,8.2,T
silent_hill_shattered_memories,ps2,2010.0,action,0.13,0.22,0.01,0.23,77.0,6.8,M
disney_sing_it_family_hits,wii,2010.0,misc,0.38,0.17,0.0,0.05,72.0,6.4,E
blur,x360,2010.0,racing,0.25,0.27,0.0,0.06,82.0,8.3,E10+
barbie_race_ride,ps,1999.0,action,0.33,0.22,0.0,0.04,77.0,8.3,M
kane_lynch_2_dog_days,ps3,2010.0,shooter,0.17,0.27,0.05,0.1,68.0,7.05,M
madden_nfl_06,x360,2005.0,sports,0.54,0.0,0.01,0.03,74.0,4.9,E
asphalt_urban_gt,ds,2004.0,racing,0.31,0.22,0.0,0.06,60.0,7.5,E
mega_man_anniversary_collection,ps2,2004.0,platform,0.29,0.22,0.0,0.08,81.0,9.0,E
metal_gear_solid_v_ground_zeroes,ps3,2014.0,action,0.14,0.12,0.27,0.05,66.0,5.9,M
harvest_moon_friends_of_mineral_town,gba,2003.0,simulation,0.34,0.13,0.11,0.01,81.0,9.6,E
backyard_nba_basketball,ps2,2003.0,sports,0.29,0.22,0.0,0.07,80.0,8.3,E
ben_10_alien_force,psp,2008.0,action,0.35,0.13,0.0,0.1,45.0,7.7,E10+
naruto_the_broken_bond,x360,2008.0,action,0.24,0.28,0.0,0.06,80.0,7.8,T
kirby_s_dream_course,snes,1994.0,sports,0.0,0.0,0.59,0.0,,,
warioware_d_i_y,ds,2009.0,misc,0.17,0.18,0.2,0.04,82.0,8.7,E
iron_man,wii,2008.0,action,0.3,0.22,0.0,0.06,44.0,7.0,T
the_fight_lights_out,ps3,2010.0,fighting,0.29,0.21,0.0,0.09,48.0,7.5,T
mega_man_x7,ps2,2003.0,action,0.22,0.17,0.14,0.06,58.0,5.1,E
deus_ex_human_revolution,pc,2011.0,shooter,0.25,0.25,0.0,0.08,90.0,8.5,M
spongebob_squarepants_featuring_nicktoons_globs_of_doom,ps2,2008.0,action,0.29,0.22,0.0,0.07,47.0,5.7,E
final_fantasy_anniversary_edition,psp,2007.0,role_playing,0.39,0.02,0.13,0.04,67.0,7.7,E10+
lego_indiana_jones_2_the_adventure_continues,psp,2009.0,action,0.21,0.23,0.0,0.14,67.6,7.15,E10+
soulcalibur_v,x360,2012.0,fighting,0.39,0.13,0.02,0.04,77.0,6.2,T
tokimeki_memorial_forever_with_you,ps,1995.0,simulation,0.0,0.0,0.55,0.04,,,
diablo,ps,1997.0,role_playing,0.29,0.19,0.07,0.04,94.0,8.7,M
q_bert,2600,1982.0,puzzle,0.55,0.03,0.0,0.01,,,
romancing_saga,ps2,2005.0,role_playing,0.06,0.04,0.47,0.01,58.0,8.0,E10+
lost_via_domus,x360,2008.0,action,0.18,0.34,0.0,0.07,55.0,6.4,T
top_spin_3,wii,2008.0,action,0.15,0.37,0.0,0.07,68.0,5.7,E
game_party_in_motion,x360,2010.0,misc,0.36,0.17,0.0,0.05,33.0,3.7,E
the_lord_of_the_rings_the_third_age,ps2,2004.0,role_playing,0.49,0.02,0.0,0.08,73.0,8.2,T
call_of_duty_black_ops,ds,2010.0,shooter,0.5,0.04,0.0,0.04,74.0,6.0,T
disney_sing_it_high_school_musical_3_senior_year,wii,2008.0,misc,0.31,0.23,0.0,0.04,69.0,7.0,E
ncaa_football_09,ps3,2008.0,sports,0.54,0.0,0.0,0.04,81.0,7.3,E
sonic_all_stars_racing_transformed,x360,2012.0,racing,0.2,0.33,0.0,0.05,75.0,6.4,E
mlb_11_the_show,ps3,2011.0,sports,0.54,0.0,0.0,0.04,90.0,7.8,E
jeopardy,wii,2010.0,misc,0.55,0.0,0.0,0.04,66.0,6.4,E
transformers_war_for_cybertron_xbox_360_ps3_pc_versions,x360,2010.0,shooter,0.38,0.15,0.0,0.05,68.0,7.05,M
kinect_rush_a_disney_pixar_adventure,x360,2012.0,adventure,0.38,0.15,0.0,0.05,68.0,5.1,E
sammy_sosa_high_heat_baseball_2001,ps,2000.0,sports,0.32,0.22,0.0,0.04,70.5,7.8,E
skylanders_swap_force,wiiu,2013.0,platform,0.38,0.15,0.0,0.05,89.0,6.0,E10+
terminator_3_rise_of_the_machines,ps2,2003.0,action,0.28,0.22,0.0,0.07,38.0,6.3,T
guitar_hero_smash_hits,wii,2009.0,misc,0.31,0.21,0.0,0.06,74.0,7.7,T
tom_clancy_s_hawx,x360,2009.0,action,0.31,0.19,0.02,0.06,73.0,7.3,T
alice_madness_returns,ps3,2011.0,adventure,0.22,0.24,0.04,0.08,70.0,7.9,M
shin_megami_tensei_iv,3ds,2013.0,role_playing,0.28,0.0,0.27,0.03,83.0,8.3,M
nba_2k7,x360,2006.0,sports,0.53,0.0,0.0,0.04,84.0,7.8,E
international_superstar_soccer_98,n64,1998.0,sports,0.06,0.3,0.19,0.03,,,
fifa_road_to_world_cup_98,n64,1997.0,sports,0.15,0.39,0.0,0.03,,,
world_cup_98,n64,1998.0,sports,0.14,0.4,0.0,0.04,,,
nhl_12,ps3,2011.0,sports,0.36,0.15,0.0,0.07,86.0,7.5,E10+
nascar_dirt_to_daytona,ps2,2002.0,racing,0.28,0.22,0.0,0.07,84.0,8.8,E
unreal_tournament,ps2,2000.0,shooter,0.28,0.22,0.0,0.07,77.0,6.8,M
digimon_world_2,ps,2000.0,role_playing,0.23,0.16,0.16,0.04,42.0,7.6,E
tales_of_phantasia,ps,1998.0,role_playing,0.0,0.0,0.54,0.04,76.0,8.1,E10+
prince_of_persia_the_two_thrones,xb,2005.0,action,0.33,0.22,0.0,0.03,85.0,8.4,M
xenosaga_episode_ii_jenseits_von_gut_und_böse,ps2,2004.0,role_playing,0.28,0.22,0.0,0.07,74.5,8.2,T
gex_enter_the_gecko,ps,1998.0,platform,0.32,0.22,0.0,0.04,82.5,8.55,E
shrek_2_beg_for_mercy,gba,2004.0,adventure,0.42,0.15,0.0,0.01,65.0,8.2,E
fifa_soccer_10,ds,2009.0,sports,0.14,0.37,0.0,0.07,82.2,7.6,E
jojo_s_bizarre_adventure_all_star_battle,ps3,2013.0,fighting,0.05,0.02,0.5,0.01,71.0,8.3,T
contra_shattered_soldier,ps2,2002.0,shooter,0.28,0.22,0.0,0.07,78.0,6.6,T
championship_motocross_featuring_ricky_carmichael,ps,1998.0,racing,0.32,0.22,0.0,0.04,88.0,,
dragon_ball_z_chou_saiya_densetsu,snes,1992.0,role_playing,0.0,0.0,0.58,0.0,,,
final_fantasy_the_4_heroes_of_light,ds,2009.0,role_playing,0.22,0.1,0.23,0.03,71.0,7.1,E10+
rayman_legends,ps3,2013.0,platform,0.14,0.34,0.0,0.1,91.0,8.7,E10+
fire_emblem_seisen_no_keifu,snes,1996.0,strategy,0.0,0.0,0.58,0.0,,,
fifa_soccer,psv,2012.0,sports,0.16,0.32,0.02,0.08,79.0,7.2,E
tenchu_2_birth_of_the_stealth_assassins,ps,2000.0,action,0.32,0.22,0.0,0.04,77.0,8.7,M
tony_hawk_s_pro_skater_4,gc,2002.0,sports,0.45,0.12,0.0,0.02,91.0,8.6,T
go_diego_go_great_dinosaur_rescue,wii,2008.0,action,0.52,0.02,0.0,0.04,65.0,7.3,T
naruto_uzumaki_chronicles_2,ps2,2006.0,action,0.28,0.22,0.0,0.07,52.0,6.9,T
nhl_06,ps2,2005.0,sports,0.48,0.02,0.0,0.08,78.0,8.5,E10+
parasite_eve_ii,ps,1999.0,role_playing,0.32,0.22,0.0,0.04,79.0,9.0,M
nfl_blitz_2000,n64,1999.0,sports,0.55,0.02,0.0,0.0,64.5,,E
skate_it,wii,2008.0,sports,0.5,0.03,0.0,0.04,70.0,8.4,E
pro_evolution_soccer_2015,ps3,2014.0,sports,0.1,0.2,0.22,0.06,81.0,7.8,E
london_2012_the_official_video_game_of_the_olympic_games,x360,2012.0,sports,0.07,0.44,0.0,0.07,79.0,6.7,E
madden_nfl_2002,xb,2001.0,sports,0.53,0.02,0.0,0.03,90.0,8.1,E
ncaa_football_10,ps2,2009.0,sports,0.28,0.22,0.0,0.07,81.5,6.8,E
phineas_and_ferb_across_the_2nd_dimension,wii,2011.0,action,0.35,0.18,0.0,0.05,76.0,8.3,E10+
theme_park,ps,1994.0,simulation,0.24,0.16,0.13,0.04,72.0,7.6,E
far_cry_instincts,xb,2005.0,shooter,0.32,0.24,0.0,0.02,85.0,5.7,M
hasbro_family_game_night,ps2,2008.0,puzzle,0.28,0.22,0.0,0.07,60.0,7.5,E
tony_hawk_s_pro_skater_4,gba,2002.0,sports,0.41,0.15,0.0,0.01,85.0,8.8,E
atv_offroad_fury_blazin_trails,psp,2005.0,racing,0.53,0.0,0.0,0.04,63.0,7.8,E
tales_of_the_abyss,ps2,2005.0,role_playing,0.0,0.0,0.57,0.0,78.0,8.4,T
payday_2,x360,2013.0,shooter,0.33,0.19,0.0,0.05,75.0,6.3,M
mobile_suit_gundam_giren_no_yabou_zeon_no_keifu,ps,2000.0,strategy,0.0,0.0,0.54,0.04,73.5,8.55,T
blacksite_area_51,x360,2007.0,shooter,0.29,0.22,0.0,0.06,62.0,6.1,T
spyro_orange_the_cortex_conspiracy,gba,2004.0,action,0.41,0.15,0.0,0.01,60.0,7.0,E
xcom_enemy_unknown,ps3,2012.0,strategy,0.24,0.23,0.0,0.1,89.0,8.2,M
petz_dogz_2,wii,2007.0,simulation,0.52,0.01,0.0,0.04,67.0,7.3,E
beyond_the_beyond,ps,1995.0,role_playing,0.11,0.08,0.35,0.04,81.5,8.5,E10+
